,,,,,,,,
,,,,,,,,
CLICLO,Ponto,BAIRRO,OCORRÊNCIAS,Total,% ,,,
2 BI,ABRIGOS,ALTO DE PINHEIROS,COBERTURA - SUJA,,"0,00%",,,
2 BI,ABRIGOS,ALTO DE PINHEIROS,COBERTURA - SEM PLACAS,,"0,00%",,,
2 BI,ABRIGOS,ALTO DE PINHEIROS,COBERTURA - DANIFICADA,,"0,00%",,,
2 BI,ABRIGOS,ANHANGUERA,VIDRO - RISCADO,,"0,00%",,,
2 BI,ABRIGOS,ANHANGUERA,VIDRO - RESINA,,"0,00%",,,
2 BI,ABRIGOS,ANHANGUERA,VIDRO - QUEBRADO,1,"0,02%",,,
2 BI,ABRIGOS,ANHANGUERA,VIDRO - PICHAÇÃO,,"0,00%",,,
2 BI,ABRIGOS,ANHANGUERA,VIDRO - COLAGEM,2,"0,05%",,,
2 BI,ABRIGOS,ANHANGUERA,VIDRO - ANTEPARO AUSENTE,,"0,00%",,,
2 BI,ABRIGOS,ANHANGUERA,TOTEM - RISCADO/DANIFICADO,,"0,00%",,,
2 BI,ABRIGOS,ANHANGUERA,TOTEM - RISCADO,,"0,00%",,,
2 BI,ABRIGOS,ANHANGUERA,TOTEM - PICHAÇÃO,,"0,00%",,,
2 BI,ABRIGOS,ANHANGUERA,TOTEM - INEXISTENTE/SUPRIMIDO,,"0,00%",,,
2 BI,ABRIGOS,ANHANGUERA,TOTEM - INCLINADO/BASE DANIFICADA,,"0,00%",,,
2 BI,ABRIGOS,ANHANGUERA,TOTEM - COM FERRUGEM,1,"0,02%",,,
2 BI,ABRIGOS,ANHANGUERA,TOTEM - COM COLAGEM,1,"0,02%",,,
2 BI,ABRIGOS,ANHANGUERA,TOTEM - ABAIXO DO PERMITIDO,,"0,00%",,,
2 BI,ABRIGOS,ANHANGUERA,PISO - SUJO,,"0,00%",,,
2 BI,ABRIGOS,ANHANGUERA,PISO - PODOTATIL DANIFICADO,2,"0,05%",,,
2 BI,ABRIGOS,ANHANGUERA,PISO - PODOTATIL AUSENTE,,"0,00%",,,
2 BI,ABRIGOS,ANHANGUERA,PISO - ENTORNO INADEQUADO,,"0,00%",,,
2 BI,ABRIGOS,ANHANGUERA,PAINEL - VIDRO QUEBRADO,,"0,00%",,,
2 BI,ABRIGOS,ANHANGUERA,PAINEL - PICHAÇÃO,,"0,00%",,,
2 BI,ABRIGOS,ANHANGUERA,PAINEL - FERRUGEM,,"0,00%",,,
2 BI,ABRIGOS,ANHANGUERA,ITINERARIO - PICTOGRAMA DANIFICADO,1,"0,02%",,,
2 BI,ABRIGOS,ANHANGUERA,ITINERARIO - DIVERGENTE,,"0,00%",,,
2 BI,ABRIGOS,ANHANGUERA,ITINERARIO - DANIFICADO PARCIALMENTE,6,"0,15%",,,
2 BI,ABRIGOS,ANHANGUERA,ITINERARIO - AUSENTE,2,"0,05%",,,
2 BI,ABRIGOS,ANHANGUERA,ESTRUTURA ABRIGO - SUJO,1,"0,02%",,,
2 BI,ABRIGOS,ANHANGUERA,ESTRUTURA ABRIGO - PINTURA RISCADA/DANIFICADA,,"0,00%",,,
2 BI,ABRIGOS,ANHANGUERA,ESTRUTURA ABRIGO - PICHAÇÃO,2,"0,05%",,,
2 BI,ABRIGOS,ANHANGUERA,ESTRUTURA ABRIGO - FERRUGEM,,"0,00%",,,
2 BI,ABRIGOS,ANHANGUERA,ESTRUTURA ABRIGO - DANIFICADA,,"0,00%",,,
2 BI,ABRIGOS,ANHANGUERA,ESTRUTURA ABRIGO - COLAGEM,2,"0,05%",,,
2 BI,ABRIGOS,ANHANGUERA,ESTRUTURA ABRIGO - BANCO QUEBRADO,,"0,00%",,,
2 BI,ABRIGOS,ANHANGUERA,ESTRUTURA ABRIGO - BANCO PICHADO,3,"0,07%",,,
2 BI,ABRIGOS,ANHANGUERA,ELÉTRICA - POSTE AUXILIAR SUPRIMIDO,,"0,00%",,,
2 BI,ABRIGOS,ANHANGUERA,ELÉTRICA - LUMINÁRIA DANIFICADA,,"0,00%",,,
2 BI,ABRIGOS,ANHANGUERA,ELÉTRICA - LUMINÁRIA AUSENTE,,"0,00%",,,
2 BI,ABRIGOS,ANHANGUERA,ELÉTRICA - LUMINÁRIA ACESA DE DIA,1,"0,02%",,,
2 BI,ABRIGOS,ANHANGUERA,ELÉTRICA - ILUMINAÇÃO,,"0,00%",,,
2 BI,ABRIGOS,ANHANGUERA,ELÉTRICA - FIAÇÃO POSTE DESCONECTADA,,"0,00%",,,
2 BI,ABRIGOS,ANHANGUERA,ELÉTRICA - FIAÇÃO EXPOSTA,,"0,00%",,,
2 BI,ABRIGOS,ANHANGUERA,ELÉTRICA - CAIXA ENERGIA DANIFICADA,1,"0,02%",,,
2 BI,ABRIGOS,ANHANGUERA,ELÉTRICA - CAIXA ATERRAMENTO SEM TAMPA,,"0,00%",,,
2 BI,ABRIGOS,ANHANGUERA,COBERTURA - SUJA,,"0,00%",,,
2 BI,ABRIGOS,ANHANGUERA,COBERTURA - SEM PLACAS,,"0,00%",,,
2 BI,ABRIGOS,ANHANGUERA,COBERTURA - DANIFICADA,,"0,00%",,,
2 BI,ABRIGOS,BARRA FUNDA,VIDRO - RISCADO,,"0,00%",,,
2 BI,ABRIGOS,BARRA FUNDA,VIDRO - RESINA,,"0,00%",,,
2 BI,ABRIGOS,BARRA FUNDA,VIDRO - QUEBRADO,,"0,00%",,,
2 BI,ABRIGOS,BARRA FUNDA,VIDRO - PICHAÇÃO,,"0,00%",,,
2 BI,ABRIGOS,BARRA FUNDA,VIDRO - COLAGEM,7,"0,17%",,,
2 BI,ABRIGOS,BARRA FUNDA,VIDRO - ANTEPARO AUSENTE,,"0,00%",,,
2 BI,ABRIGOS,BARRA FUNDA,TOTEM - RISCADO/DANIFICADO,,"0,00%",,,
2 BI,ABRIGOS,BARRA FUNDA,TOTEM - RISCADO,,"0,00%",,,
2 BI,ABRIGOS,BARRA FUNDA,TOTEM - PICHAÇÃO,1,"0,02%",,,
2 BI,ABRIGOS,BARRA FUNDA,TOTEM - INEXISTENTE/SUPRIMIDO,,"0,00%",,,
2 BI,ABRIGOS,BARRA FUNDA,TOTEM - INCLINADO/BASE DANIFICADA,,"0,00%",,,
2 BI,ABRIGOS,BARRA FUNDA,TOTEM - COM FERRUGEM,,"0,00%",,,
2 BI,ABRIGOS,BARRA FUNDA,TOTEM - COM COLAGEM,,"0,00%",,,
2 BI,ABRIGOS,BARRA FUNDA,TOTEM - ABAIXO DO PERMITIDO,,"0,00%",,,
2 BI,ABRIGOS,BARRA FUNDA,PISO - SUJO,,"0,00%",,,
2 BI,ABRIGOS,BARRA FUNDA,PISO - PODOTATIL DANIFICADO,,"0,00%",,,
2 BI,ABRIGOS,BARRA FUNDA,PISO - PODOTATIL AUSENTE,1,"0,02%",,,
2 BI,ABRIGOS,BARRA FUNDA,PISO - ENTORNO INADEQUADO,,"0,00%",,,
2 BI,ABRIGOS,BARRA FUNDA,PAINEL - VIDRO QUEBRADO,,"0,00%",,,
2 BI,ABRIGOS,BARRA FUNDA,PAINEL - PICHAÇÃO,,"0,00%",,,
2 BI,ABRIGOS,BARRA FUNDA,PAINEL - FERRUGEM,,"0,00%",,,
2 BI,ABRIGOS,BARRA FUNDA,ITINERARIO - PICTOGRAMA DANIFICADO,,"0,00%",,,
2 BI,ABRIGOS,BARRA FUNDA,ITINERARIO - DIVERGENTE,,"0,00%",,,
2 BI,ABRIGOS,BARRA FUNDA,ITINERARIO - DANIFICADO PARCIALMENTE,,"0,00%",,,
2 BI,ABRIGOS,BARRA FUNDA,ITINERARIO - AUSENTE,1,"0,02%",,,
2 BI,ABRIGOS,BARRA FUNDA,ESTRUTURA ABRIGO - SUJO,,"0,00%",,,
2 BI,ABRIGOS,BARRA FUNDA,ESTRUTURA ABRIGO - PINTURA RISCADA/DANIFICADA,,"0,00%",,,
2 BI,ABRIGOS,BARRA FUNDA,ESTRUTURA ABRIGO - PICHAÇÃO,1,"0,02%",,,
2 BI,ABRIGOS,BARRA FUNDA,ESTRUTURA ABRIGO - FERRUGEM,,"0,00%",,,
2 BI,ABRIGOS,BARRA FUNDA,ESTRUTURA ABRIGO - DANIFICADA,,"0,00%",,,
2 BI,ABRIGOS,BARRA FUNDA,ESTRUTURA ABRIGO - COLAGEM,,"0,00%",,,
2 BI,ABRIGOS,BARRA FUNDA,ESTRUTURA ABRIGO - BANCO QUEBRADO,,"0,00%",,,
2 BI,ABRIGOS,BARRA FUNDA,ESTRUTURA ABRIGO - BANCO PICHADO,,"0,00%",,,
2 BI,ABRIGOS,BARRA FUNDA,ELÉTRICA - POSTE AUXILIAR SUPRIMIDO,,"0,00%",,,
2 BI,ABRIGOS,BARRA FUNDA,ELÉTRICA - LUMINÁRIA DANIFICADA,1,"0,02%",,,
2 BI,ABRIGOS,BARRA FUNDA,ELÉTRICA - LUMINÁRIA AUSENTE,,"0,00%",,,
2 BI,ABRIGOS,BARRA FUNDA,ELÉTRICA - LUMINÁRIA ACESA DE DIA,7,"0,17%",,,
2 BI,ABRIGOS,BARRA FUNDA,ELÉTRICA - ILUMINAÇÃO,,"0,00%",,,
2 BI,ABRIGOS,BARRA FUNDA,ELÉTRICA - FIAÇÃO POSTE DESCONECTADA,,"0,00%",,,
2 BI,ABRIGOS,BARRA FUNDA,ELÉTRICA - FIAÇÃO EXPOSTA,,"0,00%",,,
2 BI,ABRIGOS,BARRA FUNDA,ELÉTRICA - CAIXA ENERGIA DANIFICADA,,"0,00%",,,
2 BI,ABRIGOS,BARRA FUNDA,ELÉTRICA - CAIXA ATERRAMENTO SEM TAMPA,,"0,00%",,,
2 BI,ABRIGOS,BARRA FUNDA,COBERTURA - SUJA,,"0,00%",,,
2 BI,ABRIGOS,BARRA FUNDA,COBERTURA - SEM PLACAS,,"0,00%",,,
2 BI,ABRIGOS,BARRA FUNDA,COBERTURA - DANIFICADA,1,"0,02%",,,
2 BI,ABRIGOS,BOM RETIRO,VIDRO - RISCADO,1,"0,02%",,,
2 BI,ABRIGOS,BOM RETIRO,VIDRO - RESINA,,"0,00%",,,
2 BI,ABRIGOS,BOM RETIRO,VIDRO - QUEBRADO,,"0,00%",,,
2 BI,ABRIGOS,BOM RETIRO,VIDRO - PICHAÇÃO,,"0,00%",,,
2 BI,ABRIGOS,BOM RETIRO,VIDRO - COLAGEM,3,"0,07%",,,
2 BI,ABRIGOS,BOM RETIRO,VIDRO - ANTEPARO AUSENTE,1,"0,02%",,,
2 BI,ABRIGOS,BOM RETIRO,TOTEM - RISCADO/DANIFICADO,,"0,00%",,,
2 BI,ABRIGOS,BOM RETIRO,TOTEM - RISCADO,,"0,00%",,,
2 BI,ABRIGOS,BOM RETIRO,TOTEM - PICHAÇÃO,,"0,00%",,,
2 BI,ABRIGOS,BOM RETIRO,TOTEM - INEXISTENTE/SUPRIMIDO,,"0,00%",,,
2 BI,ABRIGOS,BOM RETIRO,TOTEM - INCLINADO/BASE DANIFICADA,,"0,00%",,,
2 BI,ABRIGOS,BOM RETIRO,TOTEM - COM FERRUGEM,,"0,00%",,,
2 BI,ABRIGOS,BOM RETIRO,TOTEM - COM COLAGEM,,"0,00%",,,
2 BI,ABRIGOS,BOM RETIRO,TOTEM - ABAIXO DO PERMITIDO,,"0,00%",,,
2 BI,ABRIGOS,BOM RETIRO,PISO - SUJO,,"0,00%",,,
2 BI,ABRIGOS,BOM RETIRO,PISO - PODOTATIL DANIFICADO,,"0,00%",,,
2 BI,ABRIGOS,BOM RETIRO,PISO - PODOTATIL AUSENTE,,"0,00%",,,
2 BI,ABRIGOS,BOM RETIRO,PISO - ENTORNO INADEQUADO,,"0,00%",,,
2 BI,ABRIGOS,BOM RETIRO,PAINEL - VIDRO QUEBRADO,,"0,00%",,,
2 BI,ABRIGOS,BOM RETIRO,PAINEL - PICHAÇÃO,,"0,00%",,,
2 BI,ABRIGOS,BOM RETIRO,PAINEL - FERRUGEM,,"0,00%",,,
2 BI,ABRIGOS,BOM RETIRO,ITINERARIO - PICTOGRAMA DANIFICADO,,"0,00%",,,
2 BI,ABRIGOS,BOM RETIRO,ITINERARIO - DIVERGENTE,,"0,00%",,,
2 BI,ABRIGOS,BOM RETIRO,ITINERARIO - DANIFICADO PARCIALMENTE,1,"0,02%",,,
2 BI,ABRIGOS,BOM RETIRO,ITINERARIO - AUSENTE,5,"0,12%",,,
2 BI,ABRIGOS,BOM RETIRO,ESTRUTURA ABRIGO - SUJO,,"0,00%",,,
2 BI,ABRIGOS,BOM RETIRO,ESTRUTURA ABRIGO - PINTURA RISCADA/DANIFICADA,,"0,00%",,,
2 BI,ABRIGOS,BOM RETIRO,ESTRUTURA ABRIGO - PICHAÇÃO,,"0,00%",,,
2 BI,ABRIGOS,BOM RETIRO,ESTRUTURA ABRIGO - FERRUGEM,,"0,00%",,,
2 BI,ABRIGOS,BOM RETIRO,ESTRUTURA ABRIGO - DANIFICADA,,"0,00%",,,
2 BI,ABRIGOS,BOM RETIRO,ESTRUTURA ABRIGO - COLAGEM,,"0,00%",,,
2 BI,ABRIGOS,BOM RETIRO,ESTRUTURA ABRIGO - BANCO QUEBRADO,,"0,00%",,,
2 BI,ABRIGOS,BOM RETIRO,ESTRUTURA ABRIGO - BANCO PICHADO,,"0,00%",,,
2 BI,ABRIGOS,BOM RETIRO,ELÉTRICA - POSTE AUXILIAR SUPRIMIDO,,"0,00%",,,
2 BI,ABRIGOS,BOM RETIRO,ELÉTRICA - LUMINÁRIA DANIFICADA,,"0,00%",,,
2 BI,ABRIGOS,BOM RETIRO,ELÉTRICA - LUMINÁRIA AUSENTE,,"0,00%",,,
2 BI,ABRIGOS,BOM RETIRO,ELÉTRICA - LUMINÁRIA ACESA DE DIA,,"0,00%",,,
2 BI,ABRIGOS,BOM RETIRO,ELÉTRICA - ILUMINAÇÃO,,"0,00%",,,
2 BI,ABRIGOS,BOM RETIRO,ELÉTRICA - FIAÇÃO POSTE DESCONECTADA,,"0,00%",,,
2 BI,ABRIGOS,BOM RETIRO,ELÉTRICA - FIAÇÃO EXPOSTA,,"0,00%",,,
2 BI,ABRIGOS,BOM RETIRO,ELÉTRICA - CAIXA ENERGIA DANIFICADA,,"0,00%",,,
2 BI,ABRIGOS,BOM RETIRO,ELÉTRICA - CAIXA ATERRAMENTO SEM TAMPA,,"0,00%",,,
2 BI,ABRIGOS,BOM RETIRO,COBERTURA - SUJA,,"0,00%",,,
2 BI,ABRIGOS,BOM RETIRO,COBERTURA - SEM PLACAS,,"0,00%",,,
2 BI,ABRIGOS,BOM RETIRO,COBERTURA - DANIFICADA,,"0,00%",,,
2 BI,ABRIGOS,BRASILANDIA,VIDRO - RISCADO,,"0,00%",,,
2 BI,ABRIGOS,BRASILANDIA,VIDRO - RESINA,,"0,00%",,,
2 BI,ABRIGOS,BRASILANDIA,VIDRO - QUEBRADO,3,"0,07%",,,
2 BI,ABRIGOS,BRASILANDIA,VIDRO - PICHAÇÃO,1,"0,02%",,,
2 BI,ABRIGOS,BRASILANDIA,VIDRO - COLAGEM,8,"0,20%",,,
2 BI,ABRIGOS,BRASILANDIA,VIDRO - ANTEPARO AUSENTE,3,"0,07%",,,
2 BI,ABRIGOS,BRASILANDIA,TOTEM - RISCADO/DANIFICADO,,"0,00%",,,
2 BI,ABRIGOS,BRASILANDIA,TOTEM - RISCADO,,"0,00%",,,
2 BI,ABRIGOS,BRASILANDIA,TOTEM - PICHAÇÃO,1,"0,02%",,,
2 BI,ABRIGOS,BRASILANDIA,TOTEM - INEXISTENTE/SUPRIMIDO,,"0,00%",,,
2 BI,ABRIGOS,BRASILANDIA,TOTEM - INCLINADO/BASE DANIFICADA,,"0,00%",,,
2 BI,ABRIGOS,BRASILANDIA,TOTEM - COM FERRUGEM,1,"0,02%",,,
2 BI,ABRIGOS,BRASILANDIA,TOTEM - COM COLAGEM,,"0,00%",,,
2 BI,ABRIGOS,BRASILANDIA,TOTEM - ABAIXO DO PERMITIDO,,"0,00%",,,
2 BI,ABRIGOS,BRASILANDIA,PISO - SUJO,,"0,00%",,,
2 BI,ABRIGOS,BRASILANDIA,PISO - PODOTATIL DANIFICADO,,"0,00%",,,
2 BI,ABRIGOS,BRASILANDIA,PISO - PODOTATIL AUSENTE,,"0,00%",,,
2 BI,ABRIGOS,BRASILANDIA,PISO - ENTORNO INADEQUADO,,"0,00%",,,
2 BI,ABRIGOS,BRASILANDIA,PAINEL - VIDRO QUEBRADO,,"0,00%",,,
2 BI,ABRIGOS,BRASILANDIA,PAINEL - PICHAÇÃO,,"0,00%",,,
2 BI,ABRIGOS,BRASILANDIA,PAINEL - FERRUGEM,,"0,00%",,,
2 BI,ABRIGOS,BRASILANDIA,ITINERARIO - PICTOGRAMA DANIFICADO,,"0,00%",,,
2 BI,ABRIGOS,BRASILANDIA,ITINERARIO - DIVERGENTE,,"0,00%",,,
2 BI,ABRIGOS,BRASILANDIA,ITINERARIO - DANIFICADO PARCIALMENTE,4,"0,10%",,,
2 BI,ABRIGOS,BRASILANDIA,ITINERARIO - AUSENTE,4,"0,10%",,,
2 BI,ABRIGOS,BRASILANDIA,ESTRUTURA ABRIGO - SUJO,,"0,00%",,,
2 BI,ABRIGOS,BRASILANDIA,ESTRUTURA ABRIGO - PINTURA RISCADA/DANIFICADA,,"0,00%",,,
2 BI,ABRIGOS,BRASILANDIA,ESTRUTURA ABRIGO - PICHAÇÃO,,"0,00%",,,
2 BI,ABRIGOS,BRASILANDIA,ESTRUTURA ABRIGO - FERRUGEM,,"0,00%",,,
2 BI,ABRIGOS,BRASILANDIA,ESTRUTURA ABRIGO - DANIFICADA,,"0,00%",,,
2 BI,ABRIGOS,BRASILANDIA,ESTRUTURA ABRIGO - COLAGEM,5,"0,12%",,,
2 BI,ABRIGOS,BRASILANDIA,ESTRUTURA ABRIGO - BANCO QUEBRADO,,"0,00%",,,
2 BI,ABRIGOS,BRASILANDIA,ESTRUTURA ABRIGO - BANCO PICHADO,,"0,00%",,,
2 BI,ABRIGOS,BRASILANDIA,ELÉTRICA - POSTE AUXILIAR SUPRIMIDO,,"0,00%",,,
2 BI,ABRIGOS,BRASILANDIA,ELÉTRICA - LUMINÁRIA DANIFICADA,,"0,00%",,,
2 BI,ABRIGOS,BRASILANDIA,ELÉTRICA - LUMINÁRIA AUSENTE,,"0,00%",,,
2 BI,ABRIGOS,BRASILANDIA,ELÉTRICA - LUMINÁRIA ACESA DE DIA,1,"0,02%",,,
2 BI,ABRIGOS,BRASILANDIA,ELÉTRICA - ILUMINAÇÃO,,"0,00%",,,
2 BI,ABRIGOS,BRASILANDIA,ELÉTRICA - FIAÇÃO POSTE DESCONECTADA,,"0,00%",,,
2 BI,ABRIGOS,BRASILANDIA,ELÉTRICA - FIAÇÃO EXPOSTA,,"0,00%",,,
2 BI,ABRIGOS,BRASILANDIA,ELÉTRICA - CAIXA ENERGIA DANIFICADA,,"0,00%",,,
2 BI,ABRIGOS,BRASILANDIA,ELÉTRICA - CAIXA ATERRAMENTO SEM TAMPA,,"0,00%",,,
2 BI,ABRIGOS,BRASILANDIA,COBERTURA - SUJA,,"0,00%",,,
2 BI,ABRIGOS,BRASILANDIA,COBERTURA - SEM PLACAS,,"0,00%",,,
2 BI,ABRIGOS,BRASILANDIA,COBERTURA - DANIFICADA,1,"0,02%",,,
2 BI,ABRIGOS,BUTANTA,VIDRO - RISCADO,1,"0,02%",,,
2 BI,ABRIGOS,BUTANTA,VIDRO - RESINA,,"0,00%",,,
2 BI,ABRIGOS,BUTANTA,VIDRO - QUEBRADO,,"0,00%",,,
2 BI,ABRIGOS,BUTANTA,VIDRO - PICHAÇÃO,1,"0,02%",,,
2 BI,ABRIGOS,BUTANTA,VIDRO - COLAGEM,10,"0,25%",,,
2 BI,ABRIGOS,BUTANTA,VIDRO - ANTEPARO AUSENTE,,"0,00%",,,
2 BI,ABRIGOS,BUTANTA,TOTEM - RISCADO/DANIFICADO,,"0,00%",,,
2 BI,ABRIGOS,BUTANTA,TOTEM - RISCADO,,"0,00%",,,
2 BI,ABRIGOS,BUTANTA,TOTEM - PICHAÇÃO,,"0,00%",,,
2 BI,ABRIGOS,BUTANTA,TOTEM - INEXISTENTE/SUPRIMIDO,,"0,00%",,,
2 BI,ABRIGOS,BUTANTA,TOTEM - INCLINADO/BASE DANIFICADA,,"0,00%",,,
2 BI,ABRIGOS,BUTANTA,TOTEM - COM FERRUGEM,1,"0,02%",,,
2 BI,ABRIGOS,BUTANTA,TOTEM - COM COLAGEM,4,"0,10%",,,
2 BI,ABRIGOS,BUTANTA,TOTEM - ABAIXO DO PERMITIDO,,"0,00%",,,
2 BI,ABRIGOS,BUTANTA,PISO - SUJO,1,"0,02%",,,
2 BI,ABRIGOS,BUTANTA,PISO - PODOTATIL DANIFICADO,1,"0,02%",,,
2 BI,ABRIGOS,BUTANTA,PISO - PODOTATIL AUSENTE,,"0,00%",,,
2 BI,ABRIGOS,BUTANTA,PISO - ENTORNO INADEQUADO,,"0,00%",,,
2 BI,ABRIGOS,BUTANTA,PAINEL - VIDRO QUEBRADO,,"0,00%",,,
2 BI,ABRIGOS,BUTANTA,PAINEL - PICHAÇÃO,,"0,00%",,,
2 BI,ABRIGOS,BUTANTA,PAINEL - FERRUGEM,,"0,00%",,,
2 BI,ABRIGOS,BUTANTA,ITINERARIO - PICTOGRAMA DANIFICADO,1,"0,02%",,,
2 BI,ABRIGOS,BUTANTA,ITINERARIO - DIVERGENTE,,"0,00%",,,
2 BI,ABRIGOS,BUTANTA,ITINERARIO - DANIFICADO PARCIALMENTE,8,"0,20%",,,
2 BI,ABRIGOS,BUTANTA,ITINERARIO - AUSENTE,6,"0,15%",,,
2 BI,ABRIGOS,BUTANTA,ESTRUTURA ABRIGO - SUJO,1,"0,02%",,,
2 BI,ABRIGOS,BUTANTA,ESTRUTURA ABRIGO - PINTURA RISCADA/DANIFICADA,,"0,00%",,,
2 BI,ABRIGOS,BUTANTA,ESTRUTURA ABRIGO - PICHAÇÃO,,"0,00%",,,
2 BI,ABRIGOS,BUTANTA,ESTRUTURA ABRIGO - FERRUGEM,,"0,00%",,,
2 BI,ABRIGOS,BUTANTA,ESTRUTURA ABRIGO - DANIFICADA,,"0,00%",,,
2 BI,ABRIGOS,BUTANTA,ESTRUTURA ABRIGO - COLAGEM,8,"0,20%",,,
2 BI,ABRIGOS,BUTANTA,ESTRUTURA ABRIGO - BANCO QUEBRADO,,"0,00%",,,
2 BI,ABRIGOS,BUTANTA,ESTRUTURA ABRIGO - BANCO PICHADO,1,"0,02%",,,
2 BI,ABRIGOS,BUTANTA,ELÉTRICA - POSTE AUXILIAR SUPRIMIDO,,"0,00%",,,
