FILIAL,DATA,SEMANA,ORIGEM,COD. ELERO,PRIMARY KEY,CODIGO SPTRANS,EQUIPAMENTO,OCORRÊNCIA,STATUS,CONCLUIDO,PENDENTE,PORCENTAGEM ATENDIMENTO,DATA DE RESPOSTA,SLA,EQUIP - RESUMO,INDICE,DIAS EM ABERTO
SUL,24/12/2024,52,COP,A00771,220015548-1,220015548,CAOS LEVE,VIDRO EM GERAL,CONCLUIDO,1,0,100%,20/01/2025,,ABRIGO,34,
MATRIZ,24/12/2024,52,COP,A07870,290001396,290001396,CAOS LEVE,VIDRO EM GERAL,CONCLUIDO,1,0,100%,16/01/2025,,ABRIGO,35,
SUL,24/12/2024,52,COP,A04512,7206731,7206731,CAOS LEVE,ILUMINAÇÃO,CONCLUIDO,1,0,100%,09/01/2025,,ABRIGO,36,
SUL,24/12/2024,52,COP,A00804,220015526,220015526,CAOS LEVE,ILUMINAÇÃO,CONCLUIDO,1,0,100%,09/01/2025,,ABRIGO,37,
MATRIZ,25/12/2024,52,COP,A01698,960011475,960011475,CAOS LEVE,VIDRO EM GERAL,CONCLUIDO,1,0,100%,16/01/2025,,ABRIGO,38,
LESTE,26/12/2024,52,SAC,A02578,820012539,820012539,CAOS LEVE,LIMPEZA/MANUTENÇÃO,CONCLUIDO,1,0,100%,10/01/2025,,ABRIGO,39,
LESTE,26/12/2024,52,SAC,T17941,VERIFICAR,3203729,TOTEM,ABALROADO,CONCLUIDO,1,0,100%,09/01/2025,,TOTEM,40,
MATRIZ,26/12/2024,52,SAC,T02223,VERIFICAR,710000969,TOTEM,ABALROADO,CONCLUIDO,1,0,100%,08/01/2025,,TOTEM,41,
0,26/12/2024,52,SAC,CRIAR CODIGO,VERIFICAR,0,NÃO É ABRIGO,ILUMINAÇÃO,CONCLUIDO,1,0,100%,15/01/2025,,ABRIGO,42,
LESTE,26/12/2024,52,SAC,T15441,9309396,9309396,TOTEM,LIMPEZA/MANUTENÇÃO,CONCLUIDO,1,0,100%,09/01/2025,,TOTEM,43,
LESTE,26/12/2024,52,SAC,T19200,3214512,3214512,TOTEM,LIMPEZA/MANUTENÇÃO,CONCLUIDO,1,0,100%,17/01/2025,,TOTEM,44,
LESTE,26/12/2024,52,SAC,A06241,760002826,760002826,BRUTALISTA LEVE,LIMPEZA/MANUTENÇÃO,CONCLUIDO,1,0,100%,09/01/2025,,ABRIGO,45,
MATRIZ,26/12/2024,52,SAC,A08442,480014957,480014957,CAOS LEVE,ADESIVO,CONCLUIDO,1,0,100%,08/01/2025,,ABRIGO,46,
LESTE,26/12/2024,52,COP,A08781,VERIFICAR,470002671,BRUTALISTA LEVE,BANCO DANIFICADO,CONCLUIDO,1,0,100%,09/01/2025,,ABRIGO,47,
LESTE,26/12/2024,52,SAC,A06008,860002887,860002887,BRUTALISTA LEVE,LIMPEZA/MANUTENÇÃO,CONCLUIDO,1,0,100%,09/01/2025,,ABRIGO,48,
LESTE,26/12/2024,52,SAC,T02883,820012541,820012541,TOTEM,LIMPEZA/MANUTENÇÃO,CONCLUIDO,1,0,100%,09/01/2025,,TOTEM,49,
LESTE,26/12/2024,52,SAC,A05338,820012533,820012533,CAOS LEVE,LIMPEZA/MANUTENÇÃO,CONCLUIDO,1,0,100%,14/01/2025,,ABRIGO,50,
LESTE,26/12/2024,52,SAC,A02573,8210256,8210256,CAOS LEVE,LIMPEZA/MANUTENÇÃO,CONCLUIDO,1,0,100%,09/01/2025,,ABRIGO,51,
LESTE,26/12/2024,52,SAC,T03328,820012531,820012531,TOTEM,LIMPEZA/MANUTENÇÃO,CONCLUIDO,1,0,100%,09/01/2025,,TOTEM,52,
SUL,27/12/2024,52,COP,A01492,720010443-1,720010443,CAOS LEVE,VIDRO EM GERAL,CONCLUIDO,1,0,100%,16/01/2025,,ABRIGO,53,
SUL,27/12/2024,52,COP,A08573,3014370,3014370,BRUTALISTA LEVE,VIDRO EM GERAL,CONCLUIDO,1,0,100%,10/01/2025,,ABRIGO,54,
LESTE,27/12/2024,52,SAC,A07478,50007208-1,50007208,BRUTALISTA LEVE,ILUMINAÇÃO,CONCLUIDO,1,0,100%,10/01/2025,,ABRIGO,55,
SUL,27/12/2024,52,SAC,A01600,920016363,920016363,CAOS LEVE,ADESIVO,CONCLUIDO,1,0,100%,10/01/2025,,ABRIGO,56,
SUL,27/12/2024,52,SAC,A01601,920016366,920016366,CAOS LEVE,ADESIVO,CONCLUIDO,1,0,100%,10/01/2025,,ABRIGO,57,
LESTE,28/12/2024,52,COP,T03921,VERIFICAR,240007276,TOTEM,ABALROADO,CONCLUIDO,1,0,100%,09/01/2025,,TOTEM,58,
LESTE,30/12/2024,53,SAC,T04879,10014096,10014096,TOTEM,ABALROADO,CONCLUIDO,1,0,100%,17/01/2025,,TOTEM,59,
SUL,30/12/2024,53,SAC,T01581,VERIFICAR,1903768,TOTEM,ABALROADO,CONCLUIDO,1,0,100%,09/01/2025,,TOTEM,60,
MATRIZ,30/12/2024,53,SAC,A01706,960011228-1,960011228,CAOS LEVE,VIDRO EM GERAL,CONCLUIDO,1,0,100%,16/01/2025,,ABRIGO,61,
LESTE,30/12/2024,53,COP,A05700,VERIFICAR,310008364,BRUTALISTA LEVE,ABALROADO,CONCLUIDO,1,0,100%,09/01/2025,,ABRIGO,62,
MATRIZ,30/12/2024,53,SAC,A03157,480012931-1,480012931,CAOS LEVE,ADESIVO,CONCLUIDO,1,0,100%,29/01/2025,,ABRIGO,63,
LESTE,30/12/2024,53,COP,A05569,250008088,250008088,BRUTALISTA LEVE,VIDRO EM GERAL,CONCLUIDO,1,0,100%,10/01/2025,,ABRIGO,64,
LESTE,30/12/2024,53,SAC,T19296,7805136,7805136,TOTEM,ADESIVO,CONCLUIDO,1,0,100%,09/01/2025,,TOTEM,65,
SUL,30/12/2024,53,SAC,A00880,270016168,270016168,CAOS LEVE,LIMPEZA/MANUTENÇÃO,CONCLUIDO,1,0,100%,08/01/2025,,ABRIGO,66,
MATRIZ,30/12/2024,53,SAC,A08279,380004060,380004060,MINIMALISTA LEVE,LIMPEZA/MANUTENÇÃO,CONCLUIDO,1,0,100%,08/01/2025,,ABRIGO,67,
MATRIZ,30/12/2024,53,SAC,A04908,380004057,380004057,MINIMALISTA LEVE,LIMPEZA/MANUTENÇÃO,CONCLUIDO,1,0,100%,27/01/2025,,ABRIGO,68,
SUL,30/12/2024,53,SAC,A01223,790009965,790009965,CAOS LEVE,ILUMINAÇÃO,CONCLUIDO,1,0,100%,09/01/2025,,ABRIGO,69,
SUL,30/12/2024,53,SAC,A01217,790009969,790009969,CAOS ESTRUTURADO,LIMPEZA/MANUTENÇÃO,CONCLUIDO,1,0,100%,09/01/2025,,ABRIGO,70,
LESTE,30/12/2024,53,SAC,A02576,820012549,820012549,CAOS LEVE,LIMPEZA/MANUTENÇÃO,CONCLUIDO,1,0,100%,09/01/2025,,ABRIGO,71,
LESTE,30/12/2024,53,SAC,A02739,200012485,200012485,CAOS LEVE,LIMPEZA/MANUTENÇÃO,CONCLUIDO,1,0,100%,09/01/2025,,ABRIGO,72,
SUL,01/01/2025,1,COP,A03565,190013475,190013475,BRUTALISTA LEVE,VIDRO EM GERAL,CONCLUIDO,1,0,100%,10/01/2025,9,ABRIGO,73,
SUL,01/01/2025,1,COP,A00807,160015527,160015527,CAOS LEVE,VIDRO EM GERAL,CONCLUIDO,1,0,100%,10/01/2025,,ABRIGO,74,
SUL,01/01/2025,1,COP,A03423,160015530,160015530,CAOS LEVE,VIDRO EM GERAL,CONCLUIDO,1,0,100%,10/01/2025,,ABRIGO,75,
SUL,01/01/2025,1,COP,A03474,190013032,190013032,BRUTALISTA LEVE,VIDRO EM GERAL,CONCLUIDO,1,0,100%,10/01/2025,9,ABRIGO,76,
0,01/01/2025,1,COP,A00203,120015873,120015873,CAOS ESTRUTURADO,VIDRO EM GERAL,CONCLUIDO,1,0,100%,07/01/2025,,ABRIGO,77,
SUL,02/01/2025,1,COP,T16060,VERIFICAR,590013808,TOTEM,ABALROADO,CONCLUIDO,1,0,100%,16/01/2025,14,TOTEM,78,
SUL,02/01/2025,1,SAC,T16582,220013680,220013680,TOTEM,ADESIVO,CONCLUIDO,1,0,100%,15/01/2025,13,TOTEM,79,
LESTE,02/01/2025,1,SAC,A06663,950006800,950006800,CAOS LEVE,ILUMINAÇÃO,CONCLUIDO,1,0,100%,17/01/2025,15,ABRIGO,80,
LESTE,02/01/2025,1,SAC,T05237,VERIFICAR,50004506,TOTEM,TOTEM DANIFICADO,CONCLUIDO,1,0,100%,21/01/2025,19,TOTEM,81,
0,02/01/2025,1,SAC,CRIAR CODIGO,VERIFICAR,211279,TOTEM,REMANEJAMENTO,CONCLUIDO,1,0,100%,15/01/2025,13,TOTEM,82,
MATRIZ,02/01/2025,1,COP,CRIAR CODIGO,VERIFICAR,960010842,TOTEM,ADESIVO,CONCLUIDO,1,0,100%,22/01/2025,20,TOTEM,83,
SUL,02/01/2025,1,COP,T08369,420013089,420013089,TOTEM,ADESIVO,CONCLUIDO,1,0,100%,15/01/2025,13,TOTEM,84,
SUL,02/01/2025,1,COP,T19234,420013090,420013090,TOTEM,ADESIVO,CONCLUIDO,1,0,100%,15/01/2025,13,TOTEM,85,
SUL,02/01/2025,1,COP,T08371,420013091,420013091,TOTEM,ADESIVO,CONCLUIDO,1,0,100%,20/01/2025,18,TOTEM,86,
SUL,02/01/2025,1,COP,A08121,420013092,420013092,BRUTALISTA LEVE,ADESIVO,CONCLUIDO,1,0,100%,20/01/2025,18,ABRIGO,87,
SUL,02/01/2025,1,SAC,A04310,560009171,560009171,BRUTALISTA LEVE,ILUMINAÇÃO,CONCLUIDO,1,0,100%,15/01/2025,13,ABRIGO,88,
SUL,02/01/2025,1,SAC,A04311,560009172,560009172,BRUTALISTA LEVE,ILUMINAÇÃO,CONCLUIDO,1,0,100%,15/01/2025,13,ABRIGO,89,
SUL,02/01/2025,1,SAC,A08758,720015734-1,720015734,CAOS LEVE,VIDRO EM GERAL,CONCLUIDO,1,0,100%,16/01/2025,14,ABRIGO,90,
LESTE,02/01/2025,1,SAC,A06009,860002595,860002595,MINIMALISTA LEVE,VIDRO EM GERAL,CONCLUIDO,1,0,100%,09/01/2025,7,ABRIGO,91,
SUL,02/01/2025,1,SAC,T04814,2202372,2202372,TOTEM,ADESIVO,CONCLUIDO,1,0,100%,15/01/2025,13,TOTEM,92,
SUL,02/01/2025,1,COP,A00739,330014569,330014569,BRUTALISTA LEVE,VIDRO EM GERAL,CONCLUIDO,1,0,100%,06/01/2025,4,ABRIGO,93,
LESTE,02/01/2025,1,SAC,A05334,80014483,80014483,CAOS LEVE,LIMPEZA/MANUTENÇÃO,CONCLUIDO,1,0,100%,17/01/2025,15,ABRIGO,94,
LESTE,02/01/2025,1,SAC,A02571,80014469,80014469,CAOS LEVE,LIMPEZA/MANUTENÇÃO,CONCLUIDO,1,0,100%,17/01/2025,15,ABRIGO,95,
LESTE,02/01/2025,1,SAC,A05337,80014471,80014471,CAOS LEVE,LIMPEZA/MANUTENÇÃO,CONCLUIDO,1,0,100%,20/01/2025,18,ABRIGO,96,
LESTE,02/01/2025,1,SAC,A02575,820012552,820012552,CAOS LEVE,LIMPEZA/MANUTENÇÃO,CONCLUIDO,1,0,100%,17/01/2025,15,ABRIGO,97,
LESTE,02/01/2025,1,SAC,A02733,820008852,820008852,CAOS LEVE,LIMPEZA/MANUTENÇÃO,CONCLUIDO,1,0,100%,17/01/2025,15,ABRIGO,98,
MATRIZ,02/01/2025,1,SAC,A04878,VERIFICAR,380004219,MINIMALISTA LEVE,ILUMINAÇÃO,CONCLUIDO,1,0,100%,16/01/2025,14,ABRIGO,99,
MATRIZ,03/01/2025,1,SAC,T05522,VERIFICAR,110001217,TOTEM,ABALROADO,CONCLUIDO,1,0,100%,15/01/2025,12,TOTEM,100,
MATRIZ,03/01/2025,1,SAC,T16701,VERIFICAR,410003318,TOTEM,ABALROADO,CONCLUIDO,1,0,100%,15/01/2025,12,TOTEM,101,
SUL,03/01/2025,1,COP,A01390,690017097,690017097,BRUTALISTA LEVE,VIDRO EM GERAL,CONCLUIDO,1,0,100%,20/01/2025,17,ABRIGO,102,
SUL,03/01/2025,1,SAC,T08527,450011739,450011739,TOTEM,ADESIVO,CONCLUIDO,1,0,100%,15/01/2025,12,TOTEM,103,
LESTE,03/01/2025,1,COP,A01794,540014575-1,540014575,CAOS LEVE,VIDRO EM GERAL,CONCLUIDO,1,0,100%,06/01/2025,,ABRIGO,104,
MATRIZ,04/01/2025,1,COP,A00663,640001404,640001404,CAOS ESTRUTURADO,VIDRO EM GERAL,CONCLUIDO,1,0,100%,16/01/2025,12,ABRIGO,105,
MATRIZ,05/01/2025,2,COP,A03222,4114441,4114441,MINIMALISTA LEVE,VIDRO EM GERAL,CONCLUIDO,1,0,100%,20/01/2025,15,ABRIGO,106,
LESTE,05/01/2025,2,COP,A02005,800014590,800014590,MINIMALISTA LEVE,ILUMINAÇÃO,CONCLUIDO,1,0,100%,17/01/2025,12,ABRIGO,107,
LESTE,06/01/2025,2,SAC,A06393,7504885-1,7504885,MINIMALISTA LEVE,ILUMINAÇÃO,CONCLUIDO,1,0,100%,17/01/2025,11,ABRIGO,108,
LESTE,06/01/2025,2,COP,A07990,760012113-1,760012113,BRUTALISTA LEVE,VIDRO EM GERAL,CONCLUIDO,1,0,100%,08/01/2025,2,ABRIGO,109,
SUL,06/01/2025,2,SAC,T10531,VERIFICAR,720015779,TOTEM,ABALROADO,CONCLUIDO,1,0,100%,15/01/2025,9,TOTEM,110,
SUL,06/01/2025,2,COP,A04548,8103205-1,8103205,MINIMALISTA LEVE,VIDRO EM GERAL,CONCLUIDO,1,0,100%,20/01/2025,14,ABRIGO,111,
MATRIZ,06/01/2025,2,COP,A02212,210017242-1,210017242,CAOS LEVE,VIDRO EM GERAL,CONCLUIDO,1,0,100%,04/02/2025,,ABRIGO,112,
LESTE,06/01/2025,2,SAC,T12497,80014515,80014515,TOTEM,ADESIVO,CONCLUIDO,1,0,100%,21/01/2025,15,TOTEM,113,
SUL,06/01/2025,2,SAC,A01681,270016232,270016232,CAOS LEVE,LIMPEZA/MANUTENÇÃO,CONCLUIDO,1,0,100%,20/01/2025,14,ABRIGO,114,
MATRIZ,06/01/2025,2,COP,T09884,630012858,630012858,TOTEM,ADESIVO,CONCLUIDO,1,0,100%,21/01/2025,15,TOTEM,115,
MATRIZ,06/01/2025,2,COP,T09883,6311348,6311348,TOTEM,ADESIVO,CONCLUIDO,1,0,100%,21/01/2025,15,TOTEM,116,
MATRIZ,06/01/2025,2,COP,T09882,6311351,6311351,TOTEM,ADESIVO,CONCLUIDO,1,0,100%,21/01/2025,15,TOTEM,117,
LESTE,06/01/2025,2,SAC,T17970,VERIFICAR,7404483,TOTEM,ABALROADO,CONCLUIDO,1,0,100%,17/01/2025,11,TOTEM,118,
MATRIZ,06/01/2025,2,SAC,A03018,30003045,30003045,BRUTALISTA LEVE,ILUMINAÇÃO,CONCLUIDO,1,0,100%,16/01/2025,10,ABRIGO,119,
LESTE,06/01/2025,2,SAC,T19042,509099,509099,TOTEM,LIMPEZA/MANUTENÇÃO,CONCLUIDO,1,0,100%,16/01/2025,10,TOTEM,120,
LESTE,06/01/2025,2,SAC,A05538,2515403,2515403,BRUTALISTA LEVE,TOTEM DANIFICADO,CONCLUIDO,1,0,100%,17/01/2025,11,ABRIGO,121,
LESTE,06/01/2025,2,SAC,A02818,950006557,950006557,CAOS LEVE,ILUMINAÇÃO,CONCLUIDO,1,0,100%,17/01/2025,11,ABRIGO,122,
LESTE,06/01/2025,2,SAC,A08044,950006590,950006590,MINIMALISTA LEVE,ILUMINAÇÃO,CONCLUIDO,1,0,100%,21/01/2025,15,ABRIGO,123,
LESTE,06/01/2025,2,SAC,A02744,820008810,820008810,CAOS ESTRUTURADO,ADESIVO,CONCLUIDO,1,0,100%,21/01/2025,15,ABRIGO,124,
LESTE,06/01/2025,2,SAC,A05390,180005242-1,180005242,MINIMALISTA LEVE,ILUMINAÇÃO,CONCLUIDO,1,0,100%,21/01/2025,15,ABRIGO,125,
MATRIZ,06/01/2025,2,SAC,A04896,380003748,380003748,MINIMALISTA LEVE,LIMPEZA/MANUTENÇÃO,CONCLUIDO,1,0,100%,15/01/2025,9,ABRIGO,126,
LESTE,06/01/2025,2,SAC,A07209,600012397,600012397,MINIMALISTA LEVE,LIMPEZA/MANUTENÇÃO,CONCLUIDO,1,0,100%,17/01/2025,11,ABRIGO,127,
SUL,06/01/2025,2,SAC,A03500,170011206,170011206,MINIMALISTA LEVE,VIDRO EM GERAL,CONCLUIDO,1,0,100%,20/01/2025,14,ABRIGO,128,
SUL,06/01/2025,2,SAC,A00873,330017035,330017035,CAOS LEVE,ILUMINAÇÃO,CONCLUIDO,1,0,100%,15/01/2025,9,ABRIGO,129,
MATRIZ,06/01/2025,2,SAC,A01076,6311355-1,6311355,CAOS LEVE,LIMPEZA/MANUTENÇÃO,CONCLUIDO,1,0,100%,31/01/2025,25,ABRIGO,130,
MATRIZ,06/01/2025,2,COP,A01076,6311355-1,6311355,CAOS LEVE,VIDRO EM GERAL,CONCLUIDO,1,0,100%,07/01/2025,,ABRIGO,131,
MATRIZ,06/01/2025,2,SAC,A00154,60016887-1,60016887,CAOS LEVE,LIMPEZA/MANUTENÇÃO,CONCLUIDO,1,0,100%,21/01/2025,15,ABRIGO,132,
LESTE,06/01/2025,2,SAC,A06467,860002546,860002546,MINIMALISTA LEVE,COBERTURA DANIFICADA,CONCLUIDO,1,0,100%,21/01/2025,15,ABRIGO,133,
LESTE,06/01/2025,2,SAC,A07280,240007321,240007321,MINIMALISTA LEVE,ILUMINAÇÃO,CONCLUIDO,1,0,100%,17/01/2025,11,ABRIGO,134,
LESTE,06/01/2025,2,SAC,A05499,250005844,250005844,MINIMALISTA LEVE,ILUMINAÇÃO,CONCLUIDO,1,0,100%,17/01/2025,11,ABRIGO,135,
LESTE,06/01/2025,2,SAC,A05509,250005841,250005841,BRUTALISTA LEVE,ILUMINAÇÃO,CONCLUIDO,1,0,100%,17/01/2025,11,ABRIGO,136,
LESTE,06/01/2025,2,SAC,A05338,820012533,820012533,CAOS LEVE,LIMPEZA/MANUTENÇÃO,CONCLUIDO,1,0,100%,10/01/2025,4,ABRIGO,137,
LESTE,06/01/2025,2,SAC,T03331,820012535,820012535,TOTEM,LIMPEZA/MANUTENÇÃO,CONCLUIDO,1,0,100%,17/01/2025,11,TOTEM,138,
LESTE,06/01/2025,2,SAC,A05338,820012533,820012533,CAOS LEVE,LIMPEZA/MANUTENÇÃO,CONCLUIDO,1,0,100%,10/01/2025,4,ABRIGO,139,
SUL,07/01/2025,2,COP,CRIAR CODIGO,VERIFICAR,4203935,BRUTALISTA LEVE,VIDRO EM GERAL,CONCLUIDO,1,0,100%,20/01/2025,13,ABRIGO,140,
SUL,07/01/2025,2,SAC,T10339,690006975,690006975,TOTEM,ADESIVO,CONCLUIDO,1,0,100%,15/01/2025,8,TOTEM,141,
SUL,07/01/2025,2,SAC,T13951,690006976,690006976,TOTEM,ADESIVO,CONCLUIDO,1,0,100%,15/01/2025,8,TOTEM,142,
SUL,07/01/2025,2,SAC,T13905,6902168,6902168,TOTEM,ADESIVO,CONCLUIDO,1,0,100%,15/01/2025,8,TOTEM,143,
MATRIZ,07/01/2025,2,SAC,T12323,VERIFICAR,940003761,TOTEM,ABALROADO,CONCLUIDO,1,0,100%,15/01/2025,8,TOTEM,144,
MATRIZ,07/01/2025,2,SAC,T04773,940003762,940003762,TOTEM,TOTEM DANIFICADO,CONCLUIDO,1,0,100%,15/01/2025,8,TOTEM,145,
LESTE,08/01/2025,2,SAC,T11273,820008846,820008846,TOTEM,ADESIVO,CONCLUIDO,1,0,100%,17/01/2025,9,TOTEM,146,
LESTE,08/01/2025,2,SAC,A00353,70016916-1,70016916,MINIMALISTA TOP,ADESIVO,CONCLUIDO,1,0,100%,22/01/2025,14,ABRIGO,147,
MATRIZ,08/01/2025,2,SAC,A04884,380003684,380003684,MINIMALISTA LEVE,ADESIVO,CONCLUIDO,1,0,100%,15/01/2025,7,ABRIGO,148,
MATRIZ,08/01/2025,2,SAC,A00312,290001262,290001262,CAOS LEVE,VIDRO EM GERAL,CONCLUIDO,1,0,100%,16/01/2025,8,ABRIGO,149,
LESTE,08/01/2025,2,SAC,A02734,820008853,820008853,CAOS LEVE,LIMPEZA/MANUTENÇÃO,CONCLUIDO,1,0,100%,22/01/2025,14,ABRIGO,150,
MATRIZ,08/01/2025,2,COP,T15710,VERIFICAR,301763,TOTEM,ABALROADO,CONCLUIDO,1,0,100%,22/01/2025,14,TOTEM,151,
LESTE,08/01/2025,2,COP,A06651,950006565,950006565,CAOS LEVE,ABRIGO DANIFICADO,CONCLUIDO,1,0,100%,18/02/2025,,ABRIGO,152,
LESTE,08/01/2025,2,COP,A07775,VERIFICAR,240012041,MINIMALISTA LEVE,ABALROADO,CONCLUIDO,1,0,100%,17/01/2025,9,ABRIGO,153,
SUL,08/01/2025,2,COP,T14893,1707401,1707401,TOTEM,ADESIVO,CONCLUIDO,1,0,100%,16/01/2025,8,TOTEM,154,
MATRIZ,08/01/2025,2,SAC,A03229,410003283-1,410003283,MINIMALISTA LEVE,ILUMINAÇÃO,CONCLUIDO,1,0,100%,15/01/2025,7,ABRIGO,155,
MATRIZ,08/01/2025,2,COP,T04908,20014852,20014852,TOTEM,ADESIVO,CONCLUIDO,1,0,100%,23/01/2025,15,TOTEM,156,
LESTE,08/01/2025,2,COP,T11713,VERIFICAR,860012109,TOTEM,SUPRIMIDO,CONCLUIDO,1,0,100%,23/01/2025,15,TOTEM,157,
